File Name,Area,Perimeter,Hu Moment 1,Hu Moment 2,Hu Moment 3,Hu Moment 4,Hu Moment 5,Hu Moment 6,Hu Moment 7,Label
0356.jpg,32578.0,752.9949476718903,0.17320651144618626,0.0021837905538383273,6.516488259390325e-05,1.3622867739384888e-06,-5.222545656921222e-12,-2.283480239332832e-08,1.1724874003116154e-11,0
1181.jpg,26546.0,677.671135187149,0.18646128403160867,0.005467610539403024,0.0014634114505947416,0.00010310579211231832,3.8970994590457936e-08,7.555494728358533e-06,9.235974258642214e-09,3
0326.jpg,34395.5,785.0365777015686,0.1794075153648311,0.003968265033370194,0.0002870022944352758,5.913956506381647e-06,2.4195510132549794e-10,3.722425980201947e-07,-2.8657685917361894e-11,0
0513.jpg,34353.0,756.3675310611725,0.17073760578508063,0.0016220555702925325,3.51351256222996e-06,7.668103381088616e-08,-1.0497456408375235e-14,1.3233156801177102e-09,3.8392532554115596e-14,0
0569.jpg,31103.0,741.9655101299286,0.17588302601565703,0.0025856299361103597,0.00031313944140464237,9.806201044832184e-06,9.577647133581885e-11,2.7806998963184763e-07,5.348934733065796e-10,0
0194.jpg,27303.0,672.0142821073532,0.1742418812644196,0.004312705571848992,0.000139517147409335,7.487382997608128e-06,2.4196502759964494e-10,4.910355328063619e-07,3.895226064570807e-12,3
1064.jpg,37179.0,782.6274166107178,0.17302568043393673,0.00216273177298693,6.327675930889285e-06,2.2751069842820707e-07,-2.5479615154437264e-13,-1.0536212178672479e-08,-9.795381367169342e-14,0
0664.jpg,32252.5,749.0365777015686,0.17490518324584553,0.003016640018627409,7.909359700995548e-06,3.7146973914591406e-07,5.920332591515904e-13,1.7148742596199546e-08,2.3435586023162384e-13,0
0813.jpg,32993.0,775.2792184352875,0.16975906123116713,0.0014978002345844986,1.2207316005071628e-05,6.192866966544515e-08,5.38369471998241e-14,-1.914402758033561e-09,9.47819587352764e-16,0
0571.jpg,32721.5,752.5512965917587,0.17081426798612603,0.0014056923770224467,9.482945480231026e-05,1.4503784696306457e-06,-1.69951097472373e-11,-5.4353452786530815e-08,-7.015176598554043e-13,0
0250.jpg,25266.5,731.3208485841751,0.19106518380912363,0.00704947184928235,0.0002828361230645287,1.622269045639199e-05,9.20262670399959e-10,1.3620603755121161e-06,-6.005515489211423e-10,3
0291.jpg,26546.0,677.671135187149,0.18646128403160867,0.005467610539403024,0.0014634114505947416,0.00010310579211231832,3.8970994590457936e-08,7.555494728358533e-06,9.235974258642214e-09,3
0307.jpg,32080.0,767.6812393665314,0.17503975329810528,0.00255714888076205,0.00020918951194084514,1.2714167884975808e-06,-9.15870747048913e-12,-6.292871922101522e-08,1.860252667652835e-11,0
0920.jpg,33607.5,777.923879981041,0.17094588188582088,0.0019126430459502337,1.2762464302005247e-05,5.889505405270483e-08,2.929057563218976e-14,-2.5634185665344448e-09,-4.182394254654619e-14,0
0235.jpg,32252.5,749.0365777015686,0.17490518324584553,0.003016640018627409,7.909359700995548e-06,3.7146973914591406e-07,5.920332591515904e-13,1.7148742596199546e-08,2.3435586023162384e-13,0
0934.jpg,22889.5,765.296463727951,0.2038059231854152,0.0005945597857066338,0.00427570225474786,7.867387255565187e-05,4.3512855065839207e-08,7.61200256633149e-07,-1.3737512149363878e-08,3
